customer_id,unique_id,zip_code_prefix,city,state_code,unique_index,customer_unique_id
ecb1725b26e8b8c458181455dfa434ea,b55a113bb84fc10eaf58c6d09ec69794,72300,brasilia,DF,72300_brasilia_DF,ecb1725b26e8b8c458181455dfa434ea_b55a113bb84fc10eaf58c6d09ec69794
bcf86029aeed4ed8bac0e16eb14c22f5,7cd7974c9f79f75b77f323878ef87f43,11547,cubatao,SP,11547_cubatao_SP,bcf86029aeed4ed8bac0e16eb14c22f5_7cd7974c9f79f75b77f323878ef87f43
add018da2166a6af8cb006fc6d79a819,3c631f7224998f22c0fa884a2e04e39c,76875,ariquemes,RO,76875_ariquemes_RO,add018da2166a6af8cb006fc6d79a819_3c631f7224998f22c0fa884a2e04e39c
e86aabf122bf269f6a73ef1631ea593e,264f33eb52366d6efeae97a7de43a1e6,48967,nucleo residencial pilar,BA,48967_nucleo residencial pilar_BA,e86aabf122bf269f6a73ef1631ea593e_264f33eb52366d6efeae97a7de43a1e6
94906d652f7d1c9e4c4af604ede7784b,544d0f13064dc42b8f6957cf43fa5cad,69918,rio branco,AC,69918_rio branco_AC,94906d652f7d1c9e4c4af604ede7784b_544d0f13064dc42b8f6957cf43fa5cad
f4302056f0c58570522590f8181de2c7,67b05b597a66b5c449025000b9430abb,64605,picos,PI,64605_picos_PI,f4302056f0c58570522590f8181de2c7_67b05b597a66b5c449025000b9430abb
03bbe0ce5c28e05f22917607db798818,8f3dca4306d5a89e4ae2c65c110603a2,72465,brasilia,DF,72465_brasilia_DF,03bbe0ce5c28e05f22917607db798818_8f3dca4306d5a89e4ae2c65c110603a2
ad4950aded55c2ea376be59506456d68,aa2b96dd03307ea6dc4b763c0b5f0b39,7729,caieiras,SP,7729_caieiras_SP,ad4950aded55c2ea376be59506456d68_aa2b96dd03307ea6dc4b763c0b5f0b39
6e7dc8f6ec3f0a0d72fa64992ebe2fc8,5efeef1510d928c549c082d0ef4447ac,72904,santo antonio do descoberto,GO,72904_santo antonio do descoberto_GO,6e7dc8f6ec3f0a0d72fa64992ebe2fc8_5efeef1510d928c549c082d0ef4447ac
b3927569e0d789c9d5239fbdbaaed7ad,4df43d4c7d3a093a519dbfe0b9dcc0d6,69307,boa vista,RR,69307_boa vista_RR,b3927569e0d789c9d5239fbdbaaed7ad_4df43d4c7d3a093a519dbfe0b9dcc0d6
c55a17a7c31353c35d48550b3aebc06f,578d5e6d37a20bbf631183feedfe2dea,35408,glaura,MG,35408_glaura_MG,c55a17a7c31353c35d48550b3aebc06f_578d5e6d37a20bbf631183feedfe2dea
ca077dd95290191565abb393a580bbfc,70f326d437e44cf69da00c9169b74fb3,69911,rio branco,AC,69911_rio branco_AC,ca077dd95290191565abb393a580bbfc_70f326d437e44cf69da00c9169b74fb3
e335e7e1fffa9b705d3453abb49890a7,8d11f32a56d967b7e09d3a5ed6cf9991,76873,ariquemes,RO,76873_ariquemes_RO,e335e7e1fffa9b705d3453abb49890a7_8d11f32a56d967b7e09d3a5ed6cf9991
3a9686af66e7ba1291b19d2e41d584ce,c85df1c6ef6f7bb605e1c49d34f172ee,78554,sinop,MT,78554_sinop_MT,3a9686af66e7ba1291b19d2e41d584ce_c85df1c6ef6f7bb605e1c49d34f172ee
baca33004aa726524d5a891853100559,aa67457bb07fde4e952d67b038135bee,73369,brasilia,DF,73369_brasilia_DF,baca33004aa726524d5a891853100559_aa67457bb07fde4e952d67b038135bee
7557541c9c578082c892cf185c3b0b47,7ee645e84a436c9dad3d5af253162fe7,8980,nossa senhora do remedio,SP,8980_nossa senhora do remedio_SP,7557541c9c578082c892cf185c3b0b47_7ee645e84a436c9dad3d5af253162fe7
bbf5e98dabf1bdac752afc68f8032bda,13aba123512eef450a11646c572fccca,29949,sao mateus,ES,29949_sao mateus_ES,bbf5e98dabf1bdac752afc68f8032bda_13aba123512eef450a11646c572fccca
78bebfa74709728a62d4a98efbde8ac0,fac8b5e914037fc2e2476783585f0769,65137,maioba,MA,65137_maioba_MA,78bebfa74709728a62d4a98efbde8ac0_fac8b5e914037fc2e2476783585f0769
